Name;Type;Damage;Attacks;Decay;Ammo
A&P Series Hero, Adjusted, SGA Edition;Laser;46;46;0.747;1000
A&P Series Hero, Adjusted, TWEN Edition;Laser;44;51;0.252;900
A&P Series Hero, Ancient;Laser;30;35;0.500;700
A&P Series King;Laser;32;32;0.490;800
A&P Series Mayhem BC-30, Modified;BLP;38;67;0.603;743
A&P Series Mayhem BC-30, Modified (L);BLP;38;67;0.603;743
A&P Series Mayhem BC-80, Augmented;BLP;93.3;67;1.422;1754
A&P Series Mayhem BC-80, Augmented (L);BLP;93.3;67;1.422;1754
A&P Series Mayhem BP-70, Perfected;BLP;78.7;76;1.175;1448
A&P Series Mayhem BP-70, Perfected (L);BLP;78.7;76;1.175;1448
A&P Series Mayhem BP-110, Improved;BLP;99;68;1.357;1629
A&P Series Mayhem BP-110, Improved (L);BLP;99;68;1.357;1629
A&P Series Mayhem BP-130;BLP;109.7;68;1.508;1810
A&P Series Mayhem LB-40, Improved;Longblades;100;38;1.577;1944
A&P Series Mayhem LB-50, Improved (L);Longblades;100;38;1.577;1944
A&P Series Mayhem LP-40, Perfected;Laser;49.3;72;0.745;919
A&P Series Mayhem LP-40, Perfected (L);Laser;49.3;72;0.745;919
A&P Series Mayhem LP-100, Modified;Laser;97;72;1.362;1710
A&P Series Mayhem LP-100, Modified (L);Laser;97;72;1.362;1710
A&P Series Mayhem LP-120;Laser;109;65;1.513;1900
A&P Series Mayhem LR-20, Adjusted;Laser;35;48;0.620;764
A&P Series Mayhem LR-20, Adjusted (L);Laser;35;48;0.620;764
A&P Series Mayhem LR-60, Augmented;Laser;98.4;53;1.509;1861
A&P Series Mayhem LR-60, Augmented (L);Laser;98.4;53;1.509;1861
A&P Series Mayhem SB-90, Adjusted;Shortblades;77.6;76;1.314;1623
A&P Series Mayhem SB-90, Adjusted (L);Shortblades;77.6;76;1.315;1623
A.R.C. Fire Starter (L);BLP;28;74;3.409;325
A.R.C. Improved Fire Breather (L);BLP;9;83;0.100;232
A.R.C. Improved HK (L);Laser;6;95;0.100;135
A.R.C. Improved Psy-Blade (L);Power Fist; ; ; ; 
A.R.C. Improved Psy-Sword (L);Longblades;14;22; ;0
A.R.C. Improved Scorpion (L);Laser; ; ; ; 
A.R.C. Improved Survival Knife (L);Shortblades; ; ; ; 
A.R.C. Scorpion AP1 (L);Laser;4;75;0.560;40
A.R.C. Scorpion AP2 (L);Laser;6;76; ;76
Aakas Fire Dagger;Shortblades;50;63;12.039;0
Ace Of Spades Axe (L);Axes;120;35;28.613;0
Ace of Spades Axe (L) Brutal;Axes;158;38; ;0
Ach O Torment's Tainted Whip (L);Whip;132;39; ;0
Adolescent Argonaut's Claws (L);Power Fist;40;61; ;0
Adventure Pistol mk I (L);BLP;23;67;0.522;504
Adventure Pistol mk II (L);BLP;33;69;0.737;722
Adventure Pistol mk III (L);BLP;38;68;0.883;830
Aelgen Type E91 (L);BLP;105;67;5.019;2005
AI Hunter Pistol (L);BLP;2;34;0.081;41
A large trout (L);Clubs;2;22;0.485;0
Ancient Red Scorpion;Laser;11;67;1.226;140
Archon's Sword;Longblades;53;53;12.325;0
Ardora Ballista MK1 (L);Laser;34;48;0.819;737
Ardora Ballista MK2 (L);Laser;46;48; ;996
Ardora Ballista MK3 (L);Laser;57;48;1.378;1235
Ardora Ballista MK4 (L);Laser;66;48; ;1426
Ardora Ballista MK5 (L);Laser;74;48;1.799;1599
Ardora Ballista MK6 (L);Laser;82;48;1.982;1773
Ardora Ballista MK7 (L);Laser;87;49;2.100;1881
Ardora Ballista MK8 (L);Laser;94;49;2.290;2030
Ardora Ballista MK9 (L);Laser;100;49; ;2160
Ardora Ballista MK10 (L);Laser;108;49;2.627;2332
Armada Combat Knife mk I (L);Shortblades;30;84; ;0
Armada Combat Knife mk II (L);Shortblades;34;84;8.096;0
Armada Combat Knife mk III (L);Shortblades; ; ; ; 
ArMatrix BC-10 (L);BLP;28;60;0.495;611
ArMatrix BC-15 (L);BLP;33;60;0.583;719
ArMatrix BC-20 (L);BLP;38;60;0.670;826
ArMatrix BC-25 (L);BLP;44;60;0.775;956
ArMatrix BC-30 (L);BLP;51;60;0.896;1105
ArMatrix BC-35 (L);BLP;57;60;1.000;1233
ArMatrix BC-40 (L);BLP;64;60;1.120;1381
ArMatrix BC-45 (L);BLP;71;60;1.238;1527
ArMatrix BC-50 (L);BLP;78;60;1.358;1675
ArMatrix BC-55 (L);BLP;81;60;1.410;1739
ArMatrix BC-60 (L);BLP;85;60;1.479;1823
ArMatrix BC-65 (L);BLP;88;60;1.530;1886
ArMatrix BC-70 (L);BLP;91;60;1.580;1949
ArMatrix BC-75 (L);BLP;95;60;1.649;2033
ArMatrix BC-80 (L);BLP;98;60;1.699;2095
ArMatrix BC-85 (L);BLP;102;60;1.764;2176
ArMatrix BC-90 (L);BLP;105;60;1.813;2235
ArMatrix BC-95 (L);BLP;108;60;1.861;2295
ArMatrix BC-100 (L);BLP;112;60;1.926;2375
ArMatrix BC-105 (L);BLP;115;60;2.025;2429
ArMatrix BC-120, FEN Edition;BLP;124.3;60;1.722;2050
ArMatrix BC-120, FEN Edition (L);BLP;124.3;60;1.722;2050
ArMatrix BP-10 (L);BLP;24;68;0.425;524
ArMatrix BP-15 (L);BLP;27;68;0.477;588
ArMatrix BP-20 (L);BLP;33;68;0.582;718
ArMatrix BP-20, FEN Edition;BLP;33;76;0.524;646
ArMatrix BP-20, FEN Edition (L);BLP;33;76;0.524;646
ArMatrix BP-25 (L);BLP;39;68;0.688;848
ArMatrix BP-30 (L);BLP;45;68;0.790;975
ArMatrix BP-35 (L);BLP;51;68;0.894;1103
ArMatrix BP-40 (L);BLP;57;68;0.998;1230
ArMatrix BP-45 (L);BLP;63;68;1.098;1355
ArMatrix BP-50 (L);BLP;69;68;1.201;1482
ArMatrix BP-55 (L);BLP;72;68;1.253;1546
ArMatrix BP-60 (L);BLP;75;68;1.305;1609
ArMatrix BP-65 (L);BLP;78;68;1.356;1672
ArMatrix BP-70 (L);BLP;81;68;1.407;1735
ArMatrix BP-75 (L);BLP;84;68;1.457;1798
ArMatrix BP-80 (L);BLP;87;68;1.511;1860
ArMatrix BP-85 (L);BLP;90;68;1.557;1920
ArMatrix BP-90 (L);BLP;93;68;1.605;1980
ArMatrix BP-95 (L);BLP;96;68; ;2040
ArMatrix BP-100 (L);BLP;99;68;1.702;2100
ArMatrix BP-105 (L);BLP;102;68; ;2155
ArMatrix LB-10 (L);Longblades;45.8;38;0.810;998
ArMatrix LB-15 (L);Longblades;52.9;38;0.750;1151
ArMatrix LB-20 (L);Longblades;62.2;38; ;1352
ArMatrix LB-25 (L);Longblades;71.4;38;1.257;1550
ArMatrix LB-30 (L);Longblades;80;38;1.407;1734
ArMatrix LB-35 (L);Longblades;90;38;1.578;1945
ArMatrix LB-40 (L);Longblades;100;38;1.752;2160
ArMatrix LB-45 (L);Longblades;112.6;38;1.971;2430
ArMatrix LB-50 (L);Longblades;121.3;38;2.117;2610
ArMatrix LB-55 (L);Longblades;127.1;38; ;2730
ArMatrix LB-60 (L);Longblades;134;38; ;2882
ArMatrix LB-65 (L);Longblades;140;38;2.433;3000
ArMatrix LB-70 (L);Longblades;144.2;38;2.503;3085
ArMatrix LB-75 (L);Longblades;150;38; ;3200
Armatrix LP-80 Perfected (L);Laser;95.6;72;1.389;1707
ArMatrix LP-10 (L);Laser;26;65;0.460;567
ArMatrix LP-15 (L);Laser;31;65;0.548;676
ArMatrix LP-20 (L);Laser;36;65;0.636;784
ArMatrix LP-25 (L);Laser;41;65;0.723;892
ArMatrix LP-30 (L);Laser;47;65;0.828;1021
ArMatrix LP-35 (L);Laser;52;65;0.920;1126
ArMatrix LP-40 (L);Laser;59;65;1.034;1275
ArMatrix LP-45 (L);Laser;65;65;1.138;1403
ArMatrix LP-50 (L);Laser;71;65;1.240;1529
ArMatrix LP-55 (L);Laser;74;65;1.290;1591
ArMatrix LP-60 (L);Laser;78;65;1.358;1674
ArMatrix LP-65 (L);Laser;82;65;1.425;1757
ArMatrix LP-70 (L);Laser;84;65;1.458;1797
ArMatrix LP-70, FEN Edition;Laser;86.1;65;1.312;1617
ArMatrix LP-70, FEN Edition (L);Laser;86.1;65;1.312;1617
ArMatrix LP-75 (L);Laser;87;65;1.505;1858
ArMatrix LP-80 (L);Laser;91;65;1.574;1941
ArMatrix LP-85 (L);Laser;94;65;1.296;1998
ArMatrix LP-90 (L);Laser;97;65; ;2058
ArMatrix LP-95 (L);Laser;100;65; ;2118
ArMatrix LP-100 (L);Laser;104;65;1.772;2198
ArMatrix LP-105 (L);Laser;107;65; ;2258
ArMatrix LR-10 (L);Laser;35;48;0.620;764
ArMatrix LR-15 (L);Laser;42;48;0.743;916
ArMatrix LR-20 (L);Laser;49;48;0.866;1068
ArMatrix LR-25 (L);Laser;56;48;0.989;1220
ArMatrix LR-30 (L);Laser;63;48;1.110;1369
ArMatrix LR-35 (L);Laser;70;48;1.230;1516
ArMatrix LR-40 (L);Laser;79;48;1.385;1708
ArMatrix LR-40, FEN Edition;Laser;79;48;1.249;1537
ArMatrix LR-40, FEN Edition (L);Laser;79;48;1.247;1537
ArMatrix LR-45 (L);Laser;88;48;1.540;1900
ArMatrix LR-50 (L);Laser;96;48;1.677;2068
ArMatrix LR-55 (L);Laser;101;48;1.760;2172
ArMatrix LR-60 (L);Laser;106;48;1.840;2276
ArMatrix LR-65 (L);Laser;110;48;1.912;2358
ArMatrix LR-70 (L);Laser;114;48;1.977;2440
ArMatrix LR-75 (L);Laser;118;48;2.043;2521
ArMatrix LR-80 (L);Laser;123;48; ;2624
ArMatrix LR-85 (L);Laser;127;48;2.189;2700
ArMatrix LR-90 (L);Laser;131;48;2.255;2780
ArMatrix LR-95 (L);Laser;135;48;2.320;2860
ArMatrix LR-100 (L);Laser;140;48;2.393;2960
ArMatrix LR-105 (L);Laser;144;48;2.464;3040
ArMatrix SB-10 (L);Shortblades;22.4;76;0.398;491
ArMatrix SB-10, FEN Edition;Shortblades;22.4;76;0.398;491
ArMatrix SB-10, FEN Edition (L);Shortblades;22.4;76; ;491
ArMatrix SB-10, TWEN Edition;Shortblades;23.6;85;0.371;442
ArMatrix SB-15 (L);Shortblades;26.2;76;0.464;572
ArMatrix SB-20 (L);Shortblades;31.2;76;0.552;680
ArMatrix SB-25 (L);Shortblades;35;76;0.617;760
ArMatrix SB-30 (L);Shortblades;40;76;0.703;867
ArMatrix SB-35 (L);Shortblades;44.3;76;0.705;958
ArMatrix SB-40 (L);Shortblades;50;76;0.876;1080
ArMatrix SB-45 (L);Shortblades;56.2;76;0.983;1212
ArMatrix SB-50 (L);Shortblades;61.2;76;1.060;1318
ArMatrix SB-55 (L);Shortblades;63.8;76;1.112;1371
ArMatrix SB-60 (L);Shortblades;67.6;76;1.176;1450
ArMatrix SB-65 (L);Shortblades;70;76;1.217;1500
ArMatrix SB-70 (L);Shortblades;72.4;76; ;1550
ArMatrix SB-75 (L);Shortblades;75;76; ;1600
Arsonistic Chip 1 (L);Pyro;100;5;3.999;2040
Arsonistic Chip 2 (L);Pyro;200;5;7.000;4170
Arsonistic Chip 3 (L);Pyro;300;5;10.800;6200
Arsonistic Chip 3, TEN Edition;Pyro;300;5;10.496;6000
Arsonistic Chip 3, TEN Edition (L);Pyro;300;5;10.500;6000
Arsonistic Chip 4 (L);Pyro;400;5;13.500;8330
Arsonistic Chip 4, Adjusted (L);Pyro; ; ; ; 
Arsonistic Chip 4, FEN Edition;Pyro;420;5;12.149;7497
Arsonistic Chip 4, FEN Edition (L);Pyro;420;5;12.160;7497
Arsonistic Chip 5 (L);Pyro;500;4; ;10380
Arsonistic Chip 6 (L);Pyro;600;4;22.900;12250
Arsonistic Chip 6, Adjusted (L);Pyro; ; ; ; 
Arsonistic Chip 7 (L);Pyro;700;5; ;14300
Arsonistic Chip 8 (L);Pyro; ; ; ; 
Arsonistic Chip 9 (L);Pyro;900;3; ;18300
Arsonistic Chip 10 (L);Pyro;1000;3; ;20100
Asl Crash (L);Clubs;38;56; ;0
Asl Dash (L);Clubs;57;56;13.750;0
Asl Smash (L);Clubs;71;56; ;0
Assassin R150;BLP;63;53;4.747;1100
Assassin R150 (L);BLP;63;53;4.511;1100
Assassin R150, Adjusted (L);BLP;68;52;4.521;1200
Assault Rifle (FA) (L);BLP;2;34;0.081;41
B.A.M.F. Marine Chainsaw (L);Longblades;34;37;8.166;0
B.A.M.F. Rustic Chainsaw (L);Longblades;20;37;4.808;0
B.A.M.F Bloody Chainsaw (L);Longblades;56;37;13.422;0
B.A.M.F Cute Chainsaw (L);Longblades;12;37; ; 
B.A.M.F Golden Chainsaw (L);Longblades;76;41; ;0
B.A.M.F ZA1 (L);BLP;11;40;0.479;221
B.A.M.F ZA2 (L);BLP;18;41;0.773;363
B.A.M.F ZA3 (L);BLP;24;41;1.041;483
B.A.M.F ZA7 (L);BLP; ; ; ; 
B.A.M.F ZK1;BLP;16;44; ;280
B.A.M.F ZK1 (L);BLP;16;44;1.100;280
B.A.M.F ZK2;BLP;24;44; ;460
B.A.M.F ZK2 (L);BLP;24;45;1.270;460
B.A.M.F ZK2 (L) Custom;BLP;24;47;1.040;480
B.A.M.F ZK3 (L);BLP;31;45;1.386;620
B.A.M.F ZK4 (L);BLP;36;45;1.540;730
B.A.M.F ZK5 (L);BLP;42;44; ;830
B.A.M.F ZK5 (L) Custom;BLP;42;46;1.695;860
B.A.M.F ZK6 (L);BLP;49;44;2.180;990
B.A.M.F ZK7;BLP;57;43;2.679;1150
B.A.M.F ZK7 (L);BLP;57;44;2.570;1150
B.A.M.F ZK8 (L);BLP;67;44;2.741;1380
B.A.M.F ZK9 (L);BLP;74;44;3.170;1510
B.A.M.F ZK10 (L);BLP;113;44;2.955;2500
B.E. Imperium Carbine (L);Plasma;9;44; ;150
B.E. Pilot Pistol (L);Laser;5;70; ;71
B.E. Redstar Smasher (L);Clubs;12;27; ;0
B.E. Zekkonian Claw (L);Power Fist;5;70; ; 
B.E. Zekkonian Longblade (L);Longblades;16;24; ;0
B.E. Zekkonian Shortblade (L);Shortblades;5;63; ;0
B.E. Zekkonian Short Sword (L);Longblades;8;48; ;0
Baringer SR33;BLP;100;13;2.300;2500
Baringer SR35;BLP;87;13;1.750;2000
Baringer SR36;BLP;93;14;2.750;2100
Baringer SR37;BLP;99;15;2.000;2300
Baringer SR47;BLP;112;15;2.200;2500
Baringer SR51;BLP;122;16;4.000;2500
Baringer SR60;BLP;225;7;30.000;2300
BatSim Photonic R1 (L);BLP;24;52;0.020;568
BatSim Photonic R2 (L);BLP;48;52;0.020;1138
BatSim Photonic R3 (L);BLP;72;52;0.020;1708
BatSim Photonic R4 (L);BLP;96;52;0.020;2278
Battle Axe (L);LongBlades;6.1;33;0.030; 
Beat Cop Extendable Baton (L);Clubs;49;25; ;0
Beat Cop Nightstick (L);Clubs;34;23;8.300;0
Bent Pirates Pistol (L);BLP;16;69; ;350
Bevis Fire Fire;BLP;18;74;2.200;215
Bicak Blix;Shortblades;59;52;14.568;0
Bicak Blix (L);Shortblades;59;52;14.393;0
Bicak Kek;Shortblades;35;49;8.647;0
Bicak Kek (L);Shortblades;35;49;8.543;0
Bicak Kex (L);Shortblades;34;54;8.275;0
Bicak Kwel (L);Shortblades;42;57;10.180;0
Bicak Mak (L);Shortblades;29;52;7.070;0
Bicak Rex (L);Shortblades;49;58;11.850;0
Bicak Vix (L);Shortblades;38;56;9.240;0
Binary Mayhem P1 (L);BLP;16;56;0.190;360
Binary Mayhem P2 (L);BLP;30;56;0.360;674
Binary Mayhem P3 (L);BLP;39;56;0.470;876
Binary Mayhem P4 (L);BLP;52;56;0.620;1168
Binary Mayhem P5 (L);BLP;72;56;0.860;1618
Binary Mayhem P6 (L);BLP;92;56;1.100;2068
Binary Mayhem P7 (L);BLP;103;56;1.230;2317
Binary Mayhem R1 (L);BLP;19;44;0.225;427
Binary Mayhem R2 (L);BLP;33;44;0.400;741
Binary Mayhem R3 (L);BLP;46;44;0.550;1034
Binary Mayhem R4 (L);BLP;58;44;0.700;1303
Binary Mayhem R5 (L);BLP;80;44;0.950;1797
Binary Mayhem R6 (L);BLP;106;44;1.260;2384
Binary Mayhem R7 (L);BLP;122;44;1.460;2742
Bird Of Prey Jareh (L);Longblades;49;44; ;0
BirdOfPrey Kaser (L);Longblades;67;44; ;0
BirdOfPrey Tayer (L);Longblades;79;44; ;0
Blood Red Star Stunna (L);BLP;22;83; ;429
Blood Red Sticky Laucher (L);Grenade;35;37; ;742
Blood Red Turrelion Spec Flamebather (L);BLP;44;83; ;958
Blood Red Xent Tech Freeze Ray (L);BLP;58;22; ;1295
Bloodstained Axe 10 (L);Clubs;35;41; ;0
Bloodstained Axe 17 (L);Clubs;50;41; ;0
Bloodstained Axe 24 (L);Clubs;64;41;15.364;0
Bloodstained Axe 30 (L);Clubs;76;41; ;0
Bloodstained Axe 35 (L);Clubs;83;40; ;0
Bloodstained Axe 40 (L);Clubs;87;43; ;0
Bloodstained Axe 45 (L);Clubs;95;43;22.608;0
Bloodstained Axe 50 (L);Clubs;101;43;24.000;0
Bloodstained Axe 55 (L);Clubs;106;43; ; 
Bloodstained Axe 60 (L);Clubs; ; ; ; 
Boxing Glove (L);Power Fist;5;80;1.202;0
Breer H31a (L);Laser;50;66;2.225;1000
Breer L20c (L);Laser;60;41;2.715;1193
Breer L72c (L);Laser;93;60; ;1943
Breer M1a;Laser;14;32;0.484;300
Breer M1a (L);Laser;14;32;0.426;300
Breer M2a;Laser;19;34;0.679;400
Breer M2a (L);Laser;19;34;0.598;400
Breer M3a;Laser;20;33;0.930;400
Breer M3a (L);Laser;20;33;0.845;400
Breer M4a;Laser;37;37;2.198;700
Breer M4a (L);Laser;37;37;2.038;700
Breer P1a;Laser;9;37;0.289;200
Breer P1a (L);Laser;9;37;0.235;200
Breer P2a;Laser;11;47;0.705;200
Breer P2a (L);Laser;11;47;0.653;200
Breer P3a;Laser;16;41;0.988;300
Breer P3a (L);Laser;16;41;0.862;300
Breer P4a;Laser;28;48;1.005;600
Breer P4a (L);Laser;28;48;0.766;600
Breer P5a;Laser;41;52;1.120;900
Breer P5a (L);Laser;41;52;0.938;900
Brutal Road Crew Axe (L);Axes;18;40;4.260;0
Brutal Road Crew Axe (L) Classic;Axes;18;42; ;0
Brutal Road Crew Axe (L) Custom;Axes;18;43;4.205;0
Brutal Road Crew Axe (L) Legendary;Axes;18;43; ;0
Brutal Rock n Roll Axe (L);Axes;38;37; ; 
BSF Kaamos (L);Laser;62;56;1.050;1380
BSF Kaamos, CDF Edition (L);Laser;62;56;0.003;1485
Bukin's Blade;Shortblades;7;78;1.700;0
Bukin's Spare Rifle;Laser;6;44;0.137;131
Bukin's Spare Rifle, Adjusted;Laser;7;44;0.137;155
C&L Longbeach (L);Longblades;70;30;16.580;0
C.A.P. 107 (L);Laser;13;83;0.049;310
C.B.P. 107 (L);BLP;13;83; ;310
C.B.R. 107 (L);BLP;22;49;0.057;530
C.L.R. 107 (L);Laser;20;54;0.055;480
CalyTrek CR Soul Mk. 1 (L);BLP;26;41;0.450;592
CalyTrek CR Soul Mk. 1, CDF Edition (L);BLP;26;41;0.002;637
CalyTrek CR Soul Mk. 2 (L);BLP;33;39;0.560;751
CalyTrek CR Soul Mk. 2, CDF Edition (L);BLP;33;39;0.002;807
CalyTrek CR Soul Mk. 2, E.L.M Edition (L);BLP;33;39;0.014;804
CalyTrek CR Soul Mk. 2, MM Edition (L);BLP;33;39;0.014;804
CalyTrek CR Soul Mk. 2, RX Edition (L);BLP;33;39;0.014;804
CalyTrek CR Soul Mk. 3 (L);BLP;38;40;0.699;858
CalyTrek CR Soul Mk. 3, CDF Edition (L);BLP;38;40;0.002;928
CalyTrek CR Soul Mk. 4 (L);BLP;38;48;0.680;858
CalyTrek CR Soul Mk. 4, CDF Edition (L);BLP;38;48;0.002;926
CalyTrek CR Soul Mk. 5 (L);BLP;40;52;0.690;904
CalyTrek CR Soul Mk. 5, CDF Edition (L);BLP;40;52;0.002;973
CalyTrek CR Spirit Mk. 1;BLP;62;51;0.990;1394
CalyTrek CR Spirit Mk. 1 (L);BLP;62;51;0.990;1394
CalyTrek CR Spirit Mk. 1, CDF Edition (L);BLP;62;51;0.003;1493
CalyTrek CR Spirit Mk. 2 (L);BLP;62;56;1.050;1380
CalyTrek CR Spirit Mk. 2, CDF Edition (L);BLP;62;56;0.003;1485
CalyTrek CR Spirit Mk. 2, TEN Edition;BLP;67;58;1.180;1478
CalyTrek CR Spirit Mk. 3 (L);BLP;70;54;1.235;1550
CalyTrek CR Spirit Mk. 3, CDF Edition (L);BLP;70;54;0.003;1673
CalyTrek CR Spirit Mk. 3, E.L.M Edition (L);BLP;70;54;0.011;1672
CalyTrek CR Spirit Mk. 3, MM Edition (L);BLP;70;54;0.011;1672
CalyTrek CR Spirit Mk. 3, RX Edition (L);BLP;70;54;0.011;1672
Camo Arms BGH;BLP;188;24;1.000;4300
Camo Arms Desert Stalker;BLP;93;38;4.000;2000
Camo Arms Jungle Stalker;BLP;90;43;2.700;2000
Camo Arms Jungle Stalker, SGA Edition;BLP;90;43; ;2000
Camo Arms Marine Predator (L);BLP;139;36;2.330;3058
Camo Arms Marine Predator, CDF Edition (L);BLP;139;36;0.005;3291
Camo Arms Marine Prowler (L);BLP;134;39;2.463;2924
Camo Arms Marine Prowler, CDF Edition (L);BLP;134;39;0.005;3170
Camo Arms Marine Stalker (L);BLP;137;42;2.850;2945
Camo Arms Marine Stalker, CDF Edition (L);BLP;137;42;0.005;3230
Camo Arms Marine Stalker, E.L.M Edition (L);BLP;137;42;0.014;3228
Camo Arms Marine Stalker, MM Edition (L);BLP;137;42;0.014;3228
Camo Arms Marine Stalker, RX Edition (L);BLP;137;42;0.014;3228
Camo Arms Urban Stalker;BLP;85;40;2.600;1900
Castorian Bryce-Series Predator (L);Shortblades;70;78;16.515;0
Castorian Bryce-Series Prowler (L);Shortblades;72;82; ;0
Castorian Bryce-Series Stalker (L);Shortblades;68;94;15.910;0
Castorian Chromatic Cleaver (L);Axes;211;30;49.350;0
Castorian Combat EnBlade-1;Longblades;20;20;6.250;0
Castorian Combat EnBlade-1, SGA Edition;Longblades;23;20; ;0
Castorian Combat EnBlade-2;Longblades;26;20;8.050;0
Castorian Combat EnBlade-3;Longblades;34;21;11.000;0
Castorian Combat EnBlade-4;Longblades;41;22;13.200;0
Castorian Combat EnBlade-4, Mentor Edition;Longblades;47;24;11.820;0
Castorian Combat EnBlade-5;Longblades;49;22;15.610;0
Castorian Combat EnBlade-6;Longblades;53;23;16.800;0
Castorian Combat EnBlade-7;Longblades;64;24;20.200;0
Castorian Combat EnBlade-8;Longblades;89;25;28.000;0
Castorian Combat EnBlade-9;Longblades;106;26;33.000;0
Castorian Combat EnBlade-10;Longblades;130;27;40.000;0
Castorian Combat EnBlade-10, Modified;Longblades;230;35; ;0
Castorian Combat EnBlade-10, SGA Edition;Longblades;130;27;30.751;0
Castorian Combat EnBlade-12;Longblades;158;22;38.500;0
Castorian Combat EnBlade-13, Mentor Edition;Longblades;169;22;40.400;0
Castorian Combat EnBlade-A;Longblades;20;22;5.092;0
Castorian Combat EnBlade-B (L);Longblades;11;33;2.650;0
Castorian Combat Mace Mk. 1;Clubs;67;42;16.096;0
Castorian Combat Mace Mk. 2;Clubs;78;42;18.733;0
Castorian Combat Mace Mk. 3;Clubs;96;42;23.056;0
Castorian Combat Mace Mk. 4;Clubs;105;42;25.217;0
Castorian Combat Mace Mk. 5;Clubs;114;42;27.379;0
Castorian Combat Mace Mk. 5 (L);Clubs;114;42;27.080;0
Castorian Combat Mace Mk. 6;Clubs;122;42;29.300;0
Castorian Combat Mace Mk. 6, FEN Edition;Clubs;128.1;46;26.370;0
Castorian Defender (L);Longblades;11;43;2.705;0
Castorian EnKnuckles-1;Power Fist;6;66;1.910;0
Castorian EnKnuckles-2;Power Fist;8;67;2.520;0
Castorian EnKnuckles-A;Power Fist;6;74;1.523;0
Castorian Guardian (L);Longblades;21;37;5.150;0
Castorian MaxiBlade-1;Longblades;123;19;29.721;0
Castorian Nano-Blade Apocalypse (L);Longblades;172;30; ; 
Castorian Pioneer EnBlade-1 (L);Shortblades;3;74;0.738;0
Castorian Pioneer EnBlade-2 (L);Shortblades;5;64;1.229;0
Castorian Pioneer EnBlade-3 (L);Shortblades;8;64;1.965;0
Castorian Pioneer EnBlade-4 (L);Shortblades;13;57; ;0
Castorian Pioneer EnBlade-5 (L);Shortblades;16;63;3.905;0
Castorian Pioneer EnBlade-6 (L);Shortblades;19;65;4.634;0
Castorian Pioneer EnBlade-6, E.L.M Edition (L);Shortblades;19;65;0.009;462
Castorian Pioneer EnBlade-6, MM Edition (L);Shortblades;19;65;0.009;462
Castorian Protector (L);Longblades;14;43;3.440;0
Castorian Sentinel (L);Longblades;6;48;1.477;0
Castorian Survival EnBlade-1;Shortblades;11;40;2.900;0
Castorian Survival EnBlade-1, SGA Edition;Shortblades;13;40;3.143;0
Castorian Survival EnBlade-2;Shortblades;13;46;4.300;0
Castorian Survival EnBlade-3;Shortblades;16;46;5.200;0
